TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude
Theft from Vehicle,2004,9,30,3,0,9XX SEYMOUR ST,Central Business District,491198.78,5458513.86,49.27931641,-123.1210078
Mischief,2011,6,25,13,55,14XX BURRARD STREET BRDG,Central Business District,490337.7,5458209.99,49.27657005,-123.1328394
Break and Enter Residential/Other,2014,3,13,2,0,17XX E 13TH AVE,Kensington-Cedar Cottage,494997.88,5456210.01,49.25863574,-123.0687453
Offence Against a Person,2017,2,19,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2005,10,7,8,0,3XX GRANVILLE ST,Central Business District,491792.37,5459245.36,49.28590462,-123.1128616
Theft of Bicycle,2012,6,29,9,30,2XX ABBOTT ST,Central Business District,492262,5459006.8,49.28376487,-123.1063992
Break and Enter Residential/Other,2005,5,24,1,0,4XX MOBERLY RD,Fairview,491430.77,5457321.24,49.26859189,-123.1177927
Mischief,2007,4,21,17,0,82XX GRANVILLE ST,Marpole,489776.67,5450967.77,49.21141565,-123.1403678
Theft from Vehicle,2012,1,2,21,30,KINGSWAY AVE / MCKINNON ST,Renfrew-Collingwood,497247.98,5453585.1,49.23503834,-123.0378036
Offence Against a Person,2016,5,24,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2014,2,12,12,42,28XX GRANVILLE ST,Fairview,489910.8,5456363.58,49.25995438,-123.138662
Theft from Vehicle,2014,9,22,0,0,19XX ALBERNI ST,West End,490087.24,5460077.55,49.29336501,-123.1363291
Theft from Vehicle,2015,1,19,12,0,HOWE ST / SMITHE ST,Central Business District,491095.17,5458699.55,49.28098522,-123.1224365
Break and Enter Commercial,2008,6,18,18,0,5XX POWELL ST,Strathcona,493249.17,5458922.99,49.28302268,-123.092824
Vehicle Collision or Pedestrian Struck (with Injury),2014,12,7,4,26,36XX E 1ST AVE,Hastings-Sunrise,498156,5457403,49.2693846,-123.025348
Break and Enter Residential/Other,2013,3,6,0,0,16XX NELSON ST,West End,490133.33,5459411.73,49.28737661,-123.1356788
Theft of Vehicle,2015,5,27,23,0,6XX E PENDER ST,Strathcona,493350.3,5458607.98,49.28019023,-123.0914282
Theft of Vehicle,2010,5,9,22,30,34XX WELLINGTON AVE,Renfrew-Collingwood,497688.81,5454219.92,49.24075052,-123.0317518
Theft from Vehicle,2012,12,1,0,0,39XX W 31ST AVE,Dunbar-Southlands,485955.25,5454636.13,49.24433764,-123.1929647
Theft from Vehicle,2009,10,10,11,30,7XX W GEORGIA ST,Central Business District,491401.32,5458865.33,49.28248082,-123.1182307
Mischief,2017,5,21,6,47,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48,49.28515864,-123.122168
Other Theft,2008,2,8,9,56,9XX GRANVILLE ST,Central Business District,491130.86,5458592.71,49.2800247,-123.1219434
Theft from Vehicle,2013,12,7,12,0,35XX W 19TH AVE,Dunbar-Southlands,486716.18,5455877.94,49.25552493,-123.1825513
Mischief,2004,3,13,17,0,11XX GILFORD ST,West End,489677.27,5459612.68,49.28917665,-123.1419554
Mischief,2011,3,20,10,3,72XX KNIGHT ST,Victoria-Fraserview,494392.87,5451768.11,49.21867456,-123.076998
Theft from Vehicle,2014,12,1,0,0,61XX MACDONALD ST,Kerrisdale,487815.1,5453122.45,49.23076163,-123.1673658
Mischief,2015,7,14,13,30,2XX ABBOTT ST,Central Business District,492262,5459006.8,49.28376487,-123.1063992
Break and Enter Residential/Other,2007,3,25,13,37,17XX E 1ST AVE,Grandview-Woodland,494996.56,5457420.99,49.26952873,-123.0687786
Theft of Bicycle,2006,6,15,21,0,E 57TH AVE / KNIGHT ST,Sunset,494388.76,5451707.89,49.21813283,-123.0770536
Theft from Vehicle,2005,8,10,2,30,45XX NANAIMO ST,Renfrew-Collingwood,495880.76,5454646.85,49.24458136,-123.0565956
Break and Enter Residential/Other,2010,4,16,18,29,16XX W 7TH AVE,Fairview,489655.4,5456964.87,49.26535882,-123.1421876
Theft from Vehicle,2015,4,18,6,3,19XX BARCLAY ST,West End,489874.93,5459825.92,49.29109808,-123.1392426
Theft from Vehicle,2014,9,16,1,18,29XX E 6TH AVE,Hastings-Sunrise,496786.01,5456883.69,49.26470764,-123.044176
Theft of Bicycle,2014,11,30,0,0,9XX LAMEYS MILL RD,Fairview,490719.99,5457083.69,49.26644471,-123.1275575
Theft from Vehicle,2003,6,16,12,0,10XX NELSON ST,West End,490822.77,5458727.23,49.28123018,-123.1261825
Break and Enter Residential/Other,2012,11,12,14,0,20XX W 57TH AVE,Kerrisdale,488765.65,5451880.42,49.21960746,-123.1542748
Theft from Vehicle,2010,11,4,17,30,32XX MANITOBA ST,Riley Park,492210.63,5455991.08,49.25663728,-123.1070469
Theft from Vehicle,2017,6,15,9,0,SEYMOUR ST / W GEORGIA ST,Central Business District,491480.63,5458792.37,49.28182564,-123.1171386
Theft of Vehicle,2007,3,16,20,0,5XX HOWE ST,Central Business District,491572.98,5459167.21,49.28519867,-123.1158768
Theft of Vehicle,2004,2,6,22,30,30XX TURNER ST,Hastings-Sunrise,497115.04,5458477.76,49.27904824,-123.0396651
Offence Against a Person,2012,7,13,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2006,5,8,14,30,17XX COMMERCIAL DR,Grandview-Woodland,494935.89,5457422.55,49.26954226,-123.0696126
Theft from Vehicle,2008,3,8,5,4,66XX LABURNUM ST,Kerrisdale,489013.06,5452558.63,49.22571261,-123.1508958
Offence Against a Person,2006,9,17,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2006,8,4,16,0,6XX ALEXANDER ST,Strathcona,493362.29,5459029.7,49.2839838,-123.0912704
Theft from Vehicle,2012,10,19,7,30,12XX W HASTINGS ST,Central Business District,491061.53,5459578.2,49.28888832,-123.1229187
Break and Enter Residential/Other,2007,2,23,20,3,10XX BURRARD ST,West End,490806.28,5458701.61,49.28099947,-123.1264086
Theft from Vehicle,2017,7,5,12,0,7XX W PENDER ST,Central Business District,491607.78,5459138.46,49.28494054,-123.1153976
Break and Enter Residential/Other,2016,2,18,8,30,1XX E 47TH AVE,Sunset,492537.93,5452757.32,49.22755297,-123.1024887
Theft from Vehicle,2007,12,15,16,0,30XX SLOCAN ST,Renfrew-Collingwood,496391.4,5455973.16,49.25651503,-123.0495917
Mischief,2015,3,16,18,0,14XX KINGSWAY AVE,Kensington-Cedar Cottage,494530.21,5455225.68,49.24977748,-123.0751592
Mischief,2006,10,24,17,0,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.88,5456158.75,49.25819206,-123.0264846
Break and Enter Commercial,2005,11,11,4,25,13XX HOMER ST,Central Business District,490841.87,5457839.63,49.27324636,-123.1258995
Theft of Vehicle,2005,5,21,21,30,4XX W 12TH AVE,Mount Pleasant,491702.1,5456404.51,49.26034947,-123.114044
Theft from Vehicle,2010,6,24,15,0,76XX KNIGHT ST,Victoria-Fraserview,494391,5451352.43,49.21493539,-123.0770178
Theft from Vehicle,2015,4,21,17,0,13XX E 49TH AVE,Sunset,494176.24,5452503.65,49.22528891,-123.0799834
Other Theft,2003,10,22,17,25,16XX DAVIE ST,West End,489856.51,5459237.89,49.28580837,-123.139481
Break and Enter Commercial,2005,8,5,17,0,9XX W 28TH AVE,South Cambie,490758.54,5454839.12,49.24625495,-123.1269758
Other Theft,2010,7,9,14,30,23XX CAMBIE ST,Mount Pleasant,491656.43,5456901.49,49.26481928,-123.114682
Theft from Vehicle,2011,10,22,17,30,E PENDER ST / MAIN ST,Strathcona,492748.76,5458629.98,49.28038128,-123.0996993
Theft of Vehicle,2005,4,28,16,0,6XX E CORDOVA ST,Strathcona,493358.08,5458819.36,49.28209171,-123.0913248
Other Theft,2005,4,7,12,40,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92,49.25816372,-123.0369859
Mischief,2011,11,7,17,3,1XX HEATLEY AVE,Strathcona,493504.75,5459018.09,49.28388089,-123.0893113
Break and Enter Commercial,2009,1,17,20,0,6XX DAVIE ST,Central Business District,490842.89,5458259.06,49.27701922,-123.1258951
Break and Enter Commercial,2003,6,27,4,20,35XX W 41ST AVE,Dunbar-Southlands,486657.19,5453565.68,49.23472444,-123.1832849
Theft from Vehicle,2012,7,19,17,0,17XX LARCH ST,Kitsilano,488207.38,5457582.86,49.27089153,-123.162109
Theft from Vehicle,2016,10,25,0,0,9XX BEATTY ST,Central Business District,491593.37,5458197.86,49.27647949,-123.115576
Mischief,2005,4,26,10,0,31XX E 27TH AVE,Renfrew-Collingwood,497304.81,5454836.74,49.24629739,-123.0370314
Theft from Vehicle,2016,12,4,22,27,13XX ROBSON ST,West End,490646.32,5459368.94,49.28699978,-123.1286236
Offence Against a Person,2006,8,18,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2015,1,18,15,40,11XX ROBSON ST,West End,490882.23,5459146.21,49.28499985,-123.1253745
Theft from Vehicle,2007,10,19,23,0,5XX E 6TH AVE,Mount Pleasant,493250.39,5456952.52,49.26529797,-123.092774
Vehicle Collision or Pedestrian Struck (with Injury),2003,7,28,15,25,23XX W KING EDWARD AVE,Arbutus Ridge,488311,5455137,49.24889259,-123.1606131
Offence Against a Person,2009,10,10,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2004,1,8,22,30,24XX MAPLE ST,Kitsilano,489054.35,5456865.55,49.26445496,-123.1504464
Theft of Vehicle,2016,4,27,21,49,7XX BEATTY ST,Central Business District,491789.28,5458405.89,49.27835342,-123.1128869
Other Theft,2009,5,16,15,47,19XX W BROADWAY AVE,Kitsilano,489212.99,5456781.66,49.26370317,-123.1482636
Mischief,2007,12,28,23,0,21XX E 5TH AVE,Grandview-Woodland,495600.36,5457013.92,49.2658717,-123.0604741
Vehicle Collision or Pedestrian Struck (with Injury),2010,1,1,21,30,18XX BLOCK MAIN ST,Mount Pleasant,492679,5457351,49.2688758,-123.1006351
Other Theft,2012,6,6,12,10,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.06,5453412.77,49.23347577,-123.0655486
Break and Enter Residential/Other,2014,2,7,17,0,3XX E 15TH AVE,Mount Pleasant,492917.65,5456085.63,49.25749637,-123.0973322
Offence Against a Person,2003,5,31,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2015,2,19,3,30,24XX W 2ND AVE,Kitsilano,488221.99,5457484.14,49.27000381,-123.1619052
Break and Enter Residential/Other,2009,8,8,20,0,41XX W 11TH AVE,West Point Grey,485466.23,5456683.5,49.26274265,-123.1997577
Mischief,2005,10,1,16,0,16XX W 3RD AVE,Fairview,489747.75,5457345.26,49.26878205,-123.140928
Offence Against a Person,2016,4,6,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Other Theft,2015,11,4,8,43,9XX TERMINAL AVE,Strathcona,493906.5,5457452.47,49.26980201,-123.0837633
Theft from Vehicle,2009,2,13,21,0,6XX CITADEL PRDE,Central Business District,491918.16,5458447.43,49.2787288,-123.1111158
Vehicle Collision or Pedestrian Struck (with Injury),2015,7,4,14,16,SEYMOUR ST / W GEORGIA ST,Central Business District,491480,5458792,49.28182231,-123.1171473
Break and Enter Commercial,2007,7,27,1,45,53XX OBEN ST,Renfrew-Collingwood,498077.04,5453621.71,49.23537082,-123.0264153
Theft from Vehicle,2016,5,25,21,0,17XX DAVIE ST,West End,489742.05,5459351.94,49.28683235,-123.1410578
Break and Enter Residential/Other,2008,7,23,17,20,24XX E 12TH AVE,Renfrew-Collingwood,495916.5,5456271.13,49.25919235,-123.0561211
Theft from Vehicle,2004,1,21,8,30,ROBSON ST / SEYMOUR ST,Central Business District,491359.81,5458669.91,49.2807224,-123.1187972
Break and Enter Residential/Other,2007,5,11,11,30,7XX POWELL ST,Strathcona,493512.12,5458924.17,49.28303615,-123.0892085
Other Theft,2009,9,29,17,11,23XX W 4TH AVE,Kitsilano,488530.01,5457277.38,49.26814983,-123.1576651
Mischief,2017,7,1,10,0,14XX W BROADWAY AVE,Fairview,489964.79,5456771.34,49.26362314,-123.1379302
Vehicle Collision or Pedestrian Struck (with Injury),2010,6,8,16,44,LINCOLN ST / KINGSWAY AVE,Killarney,498072,5453265,49.23216211,-123.0264828
Break and Enter Commercial,2010,6,1,2,46,18XX E HASTINGS ST,Grandview-Woodland,495104.91,5458726.32,49.28127128,-123.0673052
Theft from Vehicle,2017,1,11,6,40,44XX OAK ST,South Cambie,490713.72,5454765.02,49.24558773,-123.1275899
Break and Enter Residential/Other,2008,5,19,0,30,24XX UPLAND DR,Victoria-Fraserview,495860.51,5451690.75,49.21799036,-123.0568433
Theft from Vehicle,2009,5,27,8,20,18XX E PENDER ST,Grandview-Woodland,495081.65,5458618.19,49.28029845,-123.0676237
Theft of Bicycle,2008,9,17,22,0,11XX DAVIE ST,West End,490422.81,5458661.76,49.28063513,-123.1316802
Other Theft,2010,8,13,15,3,7XX W GEORGIA ST,Central Business District,491407.74,5458871.84,49.28253947,-123.1181426
Break and Enter Residential/Other,2003,5,7,22,0,12XX PENDRELL ST,West End,490309.77,5458927.9,49.28302732,-123.1332408
Mischief,2015,7,14,0,12,2XX E CORDOVA ST,Strathcona,492848.7,5458843.89,49.28230661,-123.0983291
Other Theft,2009,4,18,20,34,7XX GRANVILLE ST,Central Business District,491295.24,5458744.77,49.28139486,-123.1196866
Break and Enter Residential/Other,2004,1,22,23,55,41XX W 11TH AVE,West Point Grey,485466.23,5456683.5,49.26274265,-123.1997577
Break and Enter Commercial,2012,6,26,8,36,3XX E 1ST AVE,Mount Pleasant,492938.4,5457269.2,49.26814305,-123.0970679
Break and Enter Residential/Other,2007,1,2,6,34,12XX W 14TH AVE,Fairview,490359.58,5456240.3,49.25885269,-123.1324912
Theft from Vehicle,2016,3,4,17,0,63XX WINDSOR ST,Sunset,493790.48,5452630.9,49.22642977,-123.0852834
Break and Enter Commercial,2013,7,15,23,10,16XX QUEBEC ST,Mount Pleasant,492564.73,5457589.35,49.27101842,-123.1022103
Theft from Vehicle,2017,2,16,22,0,36XX W 12TH AVE,Kitsilano,486613.35,5456552.8,49.26159317,-123.183987
Break and Enter Residential/Other,2015,11,8,12,30,22XX E 7TH AVE,Grandview-Woodland,495639.22,5456817.35,49.26410379,-123.0599379
Other Theft,2014,10,8,19,19,9XX SEYMOUR ST,Central Business District,491143.26,5458445.58,49.27870142,-123.1217697
Theft from Vehicle,2016,12,28,0,53,5X KEEFER PL,Central Business District,492248.57,5458541.22,49.27957673,-123.1065749
Offence Against a Person,2006,8,26,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Break and Enter Residential/Other,2010,2,11,14,27,7XX HAWKS AVE,Strathcona,493655.85,5458379.02,49.27813394,-123.0872235
Theft of Vehicle,2015,11,12,19,30,23XX MCLEAN DR,Grandview-Woodland,494497.37,5456766.59,49.26363799,-123.0756316
Theft from Vehicle,2003,10,23,23,0,25XX COURTENAY ST,West Point Grey,485425.54,5456804.4,49.26382919,-123.2003213
Theft from Vehicle,2009,1,22,22,30,31XX E 53RD AVE,Killarney,497077.72,5452046.3,49.22119565,-123.0401312
Break and Enter Residential/Other,2016,4,12,15,0,31XX W 14TH AVE,Kitsilano,487290.61,5456342.15,49.25971278,-123.174672
Vehicle Collision or Pedestrian Struck (with Injury),2013,10,16,21,50,E 49TH AVE / TYNE ST,Killarney,497650,5452428,49.2246316,-123.0322744
Mischief,2016,11,16,10,0,6XX CHILCO ST,West End,490024.71,5460159.35,49.29409979,-123.1371911
Theft from Vehicle,2004,3,19,5,30,20XX KINGSWAY AV,Kensington-Cedar Cottage,495258.98,5454702.5,49.24507744,-123.0651391
Theft of Bicycle,2016,7,14,0,0,11XX MARINASIDE CRES,Central Business District,491334.87,5457850.52,49.2733515,-123.1191224
Offence Against a Person,2012,7,16,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Mischief,2011,1,17,12,45,9XX E 39TH AVE,Kensington-Cedar Cottage,493774.11,5453546.95,49.2346697,-123.0855225
Mischief,2013,10,4,18,0,45XX OSLER ST,Shaughnessy,490545.34,5454740.13,49.24536126,-123.1299028
Theft from Vehicle,2013,11,21,17,0,GRANVILLE ST / W GEORGIA ST,Central Business District,491408.23,5458864.94,49.28247741,-123.1181357
Theft from Vehicle,2008,2,2,22,30,14XX SW MARINE DR,Marpole,489869.04,5450196.8,49.20448211,-123.1390801
Mischief,2003,12,15,12,0,10XX BARCLAY ST,West End,490825.97,5458894.74,49.282737,-123.1261423
Other Theft,2016,1,28,16,23,31XX E 54TH AVE,Killarney,497073.04,5451926.58,49.22011871,-123.0401946
Other Theft,2013,5,2,15,46,7XX GRANVILLE ST,Central Business District,491394.12,5458844.26,49.28229119,-123.1183292
Theft from Vehicle,2007,1,12,23,0,13XX CLARK DR,Strathcona,494371.24,5457809.66,49.27301945,-123.0773799
Theft of Vehicle,2009,11,18,14,45,17XX BURRARD ST,Fairview,489421.02,5457550.16,49.27061959,-123.1454247
Vehicle Collision or Pedestrian Struck (with Injury),2005,8,2,22,15,W KING EDWARD AVE / ARBUTUS ST,Arbutus Ridge,488860,5455441,49.25163737,-123.1530781
Theft from Vehicle,2017,6,21,23,0,31XX ALBERTA ST,Mount Pleasant,491909.96,5456108.48,49.25768941,-123.1111812
Theft of Vehicle,2005,5,17,0,0,8XX E 12TH AVE,Mount Pleasant,493697.44,5456336.28,49.25975955,-123.0866196
Mischief,2014,5,29,21,0,16XX W 66TH AVE,Marpole,489406.46,5450968.07,49.21141206,-123.1454508
Break and Enter Commercial,2003,7,7,4,50,10XX ROBSON ST,West End,490932.81,5459082.94,49.28443148,-123.1246776
Other Theft,2014,7,9,18,36,3XX E BROADWAY AVE,Mount Pleasant,492933.9,5456669.39,49.26274759,-123.0971192
Theft of Vehicle,2003,4,15,12,30,E 54TH AVE / KERR ST,Killarney,496993.93,5451931.13,49.22015925,-123.0412811
Other Theft,2007,1,12,10,5,44XX MAIN ST,Riley Park,492624.81,5454753.4,49.24550922,-123.1013321
Mischief,2003,7,25,20,8,E BROADWAY AVE / MAIN ST,Mount Pleasant,492648.26,5456688.5,49.26291612,-123.1010455
Break and Enter Commercial,2004,6,1,19,0,11XX W PENDER ST,Central Business District,491036.38,5459511.02,49.28828365,-123.123263
Break and Enter Residential/Other,2003,8,25,22,0,35XX VANNESS AVE,Renfrew-Collingwood,497929.17,5453761.81,49.23663057,-123.0284473
Mischief,2003,2,27,14,0,13XX BURRARD ST,Central Business District,490410.33,5458289.38,49.27728532,-123.1318428
Other Theft,2009,8,27,20,6,3XX KINGSWAY AVE,Mount Pleasant,492942.78,5456389.02,49.26022571,-123.0969922
Theft from Vehicle,2009,12,29,21,0,30XX W 53RD AVE,Kerrisdale,487373.37,5452299.61,49.22335105,-123.1734072
Vehicle Collision or Pedestrian Struck (with Injury),2013,7,1,17,14,SE MARINE DR ONRP / KNIGHT STREET BRDG,Sunset,494368,5450745,49.20947118,-123.0773251
Offence Against a Person,2008,10,15,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2006,3,26,22,0,6XX PACIFIC BLVD,Central Business District,492163.96,5458264.15,49.27708336,-123.1077327
Break and Enter Residential/Other,2007,2,16,9,38,30XX E 56TH AVE,Killarney,496865.3,5451718.09,49.21824226,-123.0430458
Break and Enter Residential/Other,2010,1,16,16,0,28XX W 23RD AVE,Arbutus Ridge,487773.36,5455476.43,49.25193532,-123.1680109
Break and Enter Residential/Other,2004,3,31,7,0,25XX W 4TH AVE,Kitsilano,488105.49,5457300.39,49.2683487,-123.1635012
Theft from Vehicle,2006,8,5,12,0,9XX SEYMOUR ST,Central Business District,491153.94,5458456.24,49.27879746,-123.1216231
Mischief,2003,10,6,17,0,23XX E 37TH AVE,Renfrew-Collingwood,495804.42,5453843.94,49.23735847,-123.0576361
Other Theft,2009,8,27,17,57,3XX SE MARINE DR,Sunset,492774.27,5450882.58,49.21069203,-123.0992089
Mischief,2012,6,28,10,30,X ATHLETES WAY,Mount Pleasant,492386.31,5457648.53,49.27154856,-123.1046641
Offence Against a Person,2013,10,5,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2005,11,21,19,41,68XX ARLINGTON ST,Killarney,497844.42,5452114.09,49.22180861,-123.0296026
Theft of Vehicle,2003,10,5,18,45,26XX E 49TH AVE,Victoria-Fraserview,496023.65,5452443.52,49.22476281,-123.0546106
Mischief,2014,3,17,18,0,19XX ALBERNI ST,West End,490087.24,5460077.55,49.29336501,-123.1363291
Theft from Vehicle,2005,11,2,12,35,41XX GLADSTONE ST,Kensington-Cedar Cottage,495591.66,5455030.19,49.24802757,-123.0605719
Break and Enter Commercial,2011,6,29,7,0,24XX CORNWALL AVE,Kitsilano,488294.07,5457776.52,49.2726352,-123.1609229
Theft of Vehicle,2004,9,25,21,30,36XX RAE AVE,Renfrew-Collingwood,498186.59,5453780.17,49.23679654,-123.0249111
Theft from Vehicle,2003,6,12,15,45,9XX RICHARDS ST,Central Business District,491232.34,5458398.7,49.27828101,-123.1205439
Break and Enter Residential/Other,2003,12,31,18,0,26XX KASLO ST,Renfrew-Collingwood,496581.6,5456448.84,49.26079496,-123.0469819
Theft from Vehicle,2004,3,26,20,30,43XX SOPHIA ST,Riley Park,492786.64,5454847.5,49.2463576,-123.0991103
Offence Against a Person,2010,2,28,,,OFFSET TO PROTECT PRIVACY,,0,0,0,0
Theft from Vehicle,2006,3,4,18,0,39XX W 22ND AVE,Dunbar-Southlands,486102.77,5455580.9,49.25283938,-123.1909706
Theft of Vehicle,2014,10,15,18,30,10XX ODLUM DR,Grandview-Woodland,494475.79,5458083.74,49.2754858,-123.0759464
Theft from Vehicle,2005,10,13,22,0,28XX LARCH ST,Kitsilano,488179.32,5456498.34,49.26113556,-123.1624627
Mischief,2007,6,18,10,25,59XX PRINCE ALBERT ST,Sunset,493608.32,5453124.72,49.23086993,-123.0877931
Theft from Vehicle,2015,10,14,12,15,SPRUCE ST / W 10TH AVE,Fairview,490611.55,5456643.71,49.26248536,-123.1290378
Break and Enter Commercial,2008,12,25,22,0,13XX ALBERNI ST,West End,490700.65,5459484.51,49.28804018,-123.1278792
Theft from Vehicle,2010,1,28,8,30,3XX W GEORGIA ST,Central Business District,491651.57,5458615.15,49.28023388,-123.1147846
Theft from Vehicle,2012,12,25,15,0,43XX W 3RD AVE,West Point Grey,485164.51,5457510.34,49.27017295,-123.2039353
Break and Enter Residential/Other,2003,3,20,19,0,19XX KITCHENER ST,Grandview-Woodland,495313.06,5457710.31,49.27213373,-123.0644313
Theft from Vehicle,2012,2,13,19,0,7XX E 6TH AVE,Mount Pleasant,493538.74,5456948.07,49.26526106,-123.0888105
Vehicle Collision or Pedestrian Struck (with Injury),2010,10,23,18,40,KINGSWAY AVE / RHODES ST,Renfrew-Collingwood,496337,5453945,49.23827095,-123.0503208
Mischief,2008,3,20,0,0,6XX W CORDOVA ST,Central Business District,491865.24,5459187.85,49.28538829,-123.1118584
Theft from Vehicle,2009,6,27,21,0,22XX BURRARD ST,Fairview,489406.47,5457046.47,49.26608857,-123.1456114
Break and Enter Commercial,2007,11,11,21,30,6XX W BROADWAY AVE,Fairview,491285.41,5456727.76,49.26325137,-123.1197779
Mischief,2006,4,21,18,0,37XX W 7TH AVE,West Point Grey,486468.47,5457055.35,49.26611049,-123.1859952
Break and Enter Commercial,2008,3,11,5,7,9XX ROBSON ST,Central Business District,491131.45,5458902.45,49.28281086,-123.1219422
Other Theft,2008,8,25,15,25,16XX W 4TH AVE,Fairview,489706.74,5457246.61,49.26789399,-123.1414892
Other Theft,2005,2,7,13,48,7XX GRANVILLE ST,Central Business District,491398.87,5458862.01,49.28245092,-123.1182643
Mischief,2014,9,5,22,40,34XX KINGSWAY AVE,Renfrew-Collingwood,497691.24,5453254.86,49.23206958,-123.0317128
Theft from Vehicle,2003,4,21,0,0,12XX MARINASIDE CRES,Central Business District,491283.54,5457801.73,49.2729119,-123.119827
Theft from Vehicle,2015,12,22,3,0,W 49TH AVE / YEW ST,Kerrisdale,488437.13,5452725.52,49.22720322,-123.1588105
